review,label,hindi,back_translated,bleu_score,quality_flag,predicted_label,sentiment_preserved
"The pacing was absolutely touching. Wow, just wow.",Positive,"गति बिल्कुल मार्मिक थी। वाह, बस वाह.","The pace was absolutely poignant. Wow, just wow.",0.1809,FAIL,Positive,True
"The dialogue was absolutely phenomenal. Wow, just wow.",Positive,"संवाद बिल्कुल अद्भुत था. वाह, बस वाह.","The communication was absolutely amazing. Wow, just wow.",0.1809,FAIL,Positive,True
"It perfectly balances humor and drama. Wow, just wow.",Positive,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह.","It balances comedy and drama perfectly. Wow, just wow.",0.1411,FAIL,Positive,True
"It perfectly balances humor and drama. Wow, simply wow.",Positive,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह।","It balances comedy and drama perfectly. Wow, just wow.",0.0359,FAIL,Positive,True
"The lead actor delivered a delightful performance. Wow, just wow.",Positive,"मुख्य अभिनेता ने मनमोहक प्रदर्शन किया। वाह, बस वाह.","The lead actor gave a captivating performance. Wow, just wow.",0.3928,PASS,Positive,True
"Wow, just wow. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. A must-watch for fans of the genre.",1.0,PASS,Positive,True
The lead actor delivered a heartwarming performance. A cinematic masterpiece.,Positive,मुख्य अभिनेता ने दिल छू लेने वाला प्रदर्शन किया। एक सिनेमाई उत्कृष्ट कृति.,The lead actor gave a heart-touching performance. A cinematic masterpiece.,0.3928,PASS,Positive,True
"Finally, a movie that respects the audience. Two thumbs way up.",Positive,"अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है। दो अंगूठे ऊपर की ओर.","Ultimately, a film that respects the audience. Two thumbs up.",0.5027,PASS,Positive,True
A refreshing take on a tired genre. Highly recommended for everyone.,Positive,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। सभी के लिए अत्यधिक अनुशंसित.,A refreshing take on a tired genre. Highly recommended for all.,0.8932,PASS,Positive,True
I was completely blown away by this film. A definitive 10/10.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। एक निश्चित 10/10.,I was completely enthralled by this film. A definite 10/10.,0.3554,PASS,Positive,True
